聚类方法,指数压缩值,区间类型,数量,区间范围,忽略值
K-means,1,免费,37638,0,True
K-means,1,便宜,4779,"[42.00, 16000.00]",False
K-means,1,一般,67,"[19800.00, 79000.00]",False
K-means,1,昂贵,13,"[110600.00, 260700.00]",False
K-means,1,无人问津,42468,"[0.00, 386317.00]",False
K-means,1,关注较少,28,"[427262.00, 2361734.00]",False
K-means,1,关注较多,1,"[8062218.00, 8062218.00]",False
区间统计,,免费,37638,"[-, 1.00)",
区间统计,,便宜,4120,"[1.00, 1000.00)",
区间统计,,一般,548,"[1000.00, 3000.00)",
区间统计,,昂贵,191,"[3000.00, +)",
区间统计,,无人问津,41275,"[-, 10000.00)",
区间统计,,关注较少,1153,"[10000.00, 200000.00)",
区间统计,,关注较多,69,"[200000.00, +)",
Jenks,3,免费,37638,0,True
Jenks,3,便宜,3299,"(42.00, 590.00]",False
Jenks,3,一般,1466,"(590.00, 8192.00]",False
Jenks,3,昂贵,94,"[8192.00, 260700.00]",False
Jenks,3,无人问津,36229,"(0.00, 709.00]",False
Jenks,3,关注较少,5590,"(709.00, 20562.00]",False
Jenks,3,关注较多,678,"[20562.00, 8062218.00]",False
K-means,3,免费,37638,0,True
K-means,3,便宜,3299,"[42.00, 590.00]",False
K-means,3,一般,1466,"[599.00, 8192.00]",False
K-means,3,昂贵,94,"[15800.00, 260700.00]",False
K-means,3,无人问津,36264,"[0.00, 718.00]",False
K-means,3,关注较少,5557,"[719.00, 20682.00]",False
K-means,3,关注较多,676,"[20789.00, 8062218.00]",False
